candidate,joint_abs_log_error,beta_abs_log_error,network_test_rmse_log,exact_ode_train_rmse_log,network_to_fitted_ode_rmse_log,pre_RN_rmse_h-1,treatment_RN_rmse_h-1,post_RN_rmse_h-1,pre_RP_rmse_h-1,treatment_RP_rmse_h-1,post_RP_rmse_h-1
piecewise_multistart,0.19185172720068633,0.08039233080501779,0.1075420464566748,0.09916013880543116,0.012693670817544689,0.005138043894430119,0.011339407419128521,0.005501132472881329,0.0012006429288651612,0.004150483452544677,0.002211274455871534
piecewise_multistart_strong_physics,0.20467947797392297,0.15514822111693877,0.10816157622564365,0.09923764656297003,0.006331202697119656,0.0013366707118621071,0.0059373277921311845,0.0032720042494438152,0.0004983956171676042,0.0030805928219175965,0.002828842428642172
piecewise,0.23340573297999867,0.20116647595187012,0.10697805215256549,0.09928376167983154,0.010903221078714078,0.004974657419538372,0.013139359353757245,0.004987114972252435,0.00197253462068997,0.0038757724244844727,0.0023641085321584
boundary_aware,0.7432665351401064,0.6850116191488947,0.10895849620722708,0.11275173153013547,0.022132310345547548,0.13663028576953068,0.18708883679368418,0.11743300646080573,0.017542155597944142,0.026286293902091112,0.013466317698983613
baseline,1.3084216533992332,1.2806369017861075,0.1168261105360058,0.12358444858517242,0.05635090376835883,0.2776275088149774,0.21783291975820412,0.060343843493122544,0.03760942858356881,0.04577479649644043,0.023699886722371825
