condition,parameter,point_estimate,bootstrap_median,percentile_2.5,percentile_97.5,probability_at_lower_bound,probability_any_upper_bound,n_exact_configurations,total_probability,profile_status,profile_two_sided,model_adequate_for_inference,interval_interpretable,interpretation_note
nordholt_bac,D,-53.3458833092086,-53.34588019488808,-77.42658253986873,-41.08887704074213,,0.0,10,1.0000000000000004,two_sided_on_grid,True,True,True,interpretable conditionally on the fixed initial persister fraction
nordholt_bac,alpha,0.0696553851081827,0.06014624835399576,1.0000039836667402e-08,0.18479379564656837,0.037037037037037035,0.0,10,1.0000000000000004,lower_not_crossed,False,True,False,not interpreted: diagnostic profile status is lower_not_crossed
nordholt_bac,beta,9.053153718930538,9.053152123456922,6.047236330030001,10.500404924257676,0.0,0.0,10,1.0000000000000004,two_sided_on_grid,True,True,True,interpretable conditionally on the fixed initial persister fraction
nordholt_ddac,D,-68.34734064410854,-68.37071166915723,-79.56839569889749,-57.80126217224436,,0.016375171467764068,462,1.0000000000000007,two_sided_on_grid,True,True,True,interpretable conditionally on the fixed initial persister fraction
nordholt_ddac,alpha,1.0000000236708947e-08,1.0000001109570791e-08,1.0000000000000018e-08,1.1548628110637371e-08,0.9039780521262009,0.016375171467764068,462,1.0000000000000007,lower_not_crossed,False,True,False,not interpreted: diagnostic profile status is lower_not_crossed
nordholt_ddac,beta,25.35335405408421,25.604158698837768,22.23063823475423,33.15917834410716,0.0,0.016375171467764068,462,1.0000000000000007,two_sided_on_grid,True,True,True,interpretable conditionally on the fixed initial persister fraction
nordholt_h2o2,D,-87.72653241535198,-87.43282594492418,-99.00322651969879,-80.47497699807265,,0.0,126,1.000000000000001,two_sided_on_grid,True,False,False,not interpreted: early non-monotone data are inconsistent with this constant-rate ODE
nordholt_h2o2,alpha,1.2091395086773942e-08,1.2091395086773942e-08,1.0363869515532527e-08,1.2987031390657917e-08,0.0,0.0,126,1.000000000000001,neither_side_crossed,False,False,False,not interpreted: early non-monotone data are inconsistent with this constant-rate ODE
nordholt_h2o2,beta,131.6179868206481,131.27687282229823,123.55122813444258,143.55897633711473,0.0,0.0,126,1.000000000000001,neither_side_crossed,False,False,False,not interpreted: early non-monotone data are inconsistent with this constant-rate ODE
