condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,delta_sse,conditional_gaussian_lr,n_observations,converged,optimized_D,optimized_alpha,optimized_beta
nordholt_h2o2,D_abs,0.0010000000000000002,414.6655687016355,88.32837226155871,4.694590855514968,326.3371964400768,54.12438374481801,35,True,-0.0010000000000000002,1.2091395086773942e-08,999.999239663252
nordholt_h2o2,D_abs,0.0012589254117941675,414.6636416757205,88.32837226155871,4.694569038901963,326.33526941416176,54.124221093108225,35,True,-0.0012589254117941675,1.2091395086773942e-08,999.999239663252
nordholt_h2o2,D_abs,0.001584893192461114,414.6612157019176,88.32837226155871,4.69454157350505,326.33284344035894,54.12401632634561,35,True,-0.0015848931924611136,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.001995262314968879,414.65816159467215,88.32837226155871,4.694506996764108,326.32978933311347,54.1237585396436,35,True,-0.00199526231496888,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.0025118864315095794,414.6543167217737,88.32837226155871,4.694463467456367,326.32594446021494,54.12343400442927,35,True,-0.00251188643150958,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.0031622776601683794,414.6494763457865,88.32837226155871,4.694408667669354,326.32110408422784,54.12302543724083,35,True,-0.003162277660168379,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.003981071705534973,414.6433827245033,88.32837226155871,4.694339679402875,326.31501046294454,54.122511079152275,35,True,-0.003981071705534972,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.005011872336272725,414.6357113907281,88.32837226155871,4.694252829237081,326.30733912916935,54.121863536765055,35,True,-0.005011872336272726,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.006309573444801929,414.62605388192594,88.32837226155871,4.6941434928080845,326.29768162036726,54.12104832298758,35,True,-0.00630957344480193,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.007943282347242814,414.61389600191296,88.32837226155871,4.694005848700063,326.2855237403543,54.12002201980346,35,True,-0.007943282347242812,1.0000008272548792e-08,999.99982385829
nordholt_h2o2,D_abs,0.01,414.5985904599108,88.32837226155871,4.693832568681306,326.27021819835204,54.11872996504334,35,True,-0.010000000000000004,1.2091395086773942e-08,999.9999999999989
nordholt_h2o2,D_abs,0.012589254117941675,414.5793224346379,88.32837226155871,4.693614427841851,326.2509501730792,54.117103339745725,35,True,-0.012589254117941677,1.2091395086773942e-08,999.9999993092243
nordholt_h2o2,D_abs,0.01584893192461114,414.55506623706714,88.32837226155871,4.693339813955625,326.2266939755084,54.11505550063347,35,True,-0.01584893192461114,1.2091395086773942e-08,999.9999993092243
nordholt_h2o2,D_abs,0.0199526231496888,414.52453077585676,88.32837226155871,4.692994110073299,326.1961585142981,54.11247736182341,35,True,-0.019952623149688802,1.0002441869940079e-08,999.9999999999989
