condition,method,D,alpha,beta,train_sse,global_objective_before_polish,global_nfev,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2,network_to_fitted_ode_rmse_log,selected_start_id,initial_condition_max_abs_error,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_weight_seed_index
nordholt_h2o2,NLLS,-87.72653241535198,1.2091395086773942e-08,131.6179868206481,88.32837226155871,88.32837226177908,1710.0,88.32837226155871,0.7166906897322489,88.32837226155871,0.7166906897322489,0.0,,0.0,,,
nordholt_h2o2,NN,,,,8.060580087445798,,,8.060567220777504,0.9741460905345001,,,,,0.0,,,
nordholt_h2o2,PINN,-87.93618031000065,0.21198297299981733,299.8359953019764,0.7571139229390945,,,88.31207943193317,0.7167429482558165,88.36191934802855,0.716583088950236,0.0006594200455245888,3.0,0.0,0.020422722509338822,0.029004010123831896,0.0
nordholt_bac,NLLS,-53.345883309208595,0.06965538510818274,9.053153718930538,18.033806539086143,18.033806539973792,3015.0,18.033806539086143,0.9458737041925984,18.033806539086143,0.9458737041925984,0.0,,0.0,,,
nordholt_bac,NN,,,,18.489981332236997,,,18.48998123997407,0.9445045508335116,,,,,0.0,,,
nordholt_bac,PINN,-50.60659023449004,1.5210105630370075e-06,6.114397881766404,0.23068273204510245,,,18.406177945375447,0.9447560763172329,18.41030580856399,0.9447436870336109,0.0009211164230386751,0.0,0.0,0.053023532040814045,0.040420918445837534,1.0
nordholt_ddac,NLLS,-68.34734064410854,1.0000000236708949e-08,25.353354054084214,151.0224248359915,151.02242484882058,2205.0,151.0224248359915,0.9014785229596768,151.0224248359915,0.9014785229596768,0.0,,0.0,,,
nordholt_ddac,NN,,,,149.15684711996914,,,149.15684633341647,0.9026955577795585,,,,,0.0,,,
nordholt_ddac,PINN,-68.24086601494216,8.985451773038254e-05,25.324956965443896,0.515507978321285,,,151.01003140986393,0.9014866079751902,151.0384403357545,0.9014680750365032,0.0026215452097990938,1.0,0.0,0.06865328377179211,0.0377298382630617,2.0
