condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,189,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,190,1;3;1,-4.804534168709299,1.0000001074871752e-08,0.5884788750742467,12.979045018610098
ciprofloxacin,assumed_0.1pct,0.001,191,2;3;3,-4.020853526522834,1.0000000000142446e-08,0.5702192590999625,13.798867477055168
ciprofloxacin,assumed_0.1pct,0.001,192,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,193,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
ciprofloxacin,assumed_0.1pct,0.001,194,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,195,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,196,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,197,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,198,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
