,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,D,D,D,D,alpha,alpha,alpha,alpha,beta,beta,beta,beta
,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
method,,,,,,,,,,,,,,,,
NLLS,1.235353165956742,1.412139499007453,1.0814821653717188,4,-2.120575349036274,-3.106463101044168,1.9967890436972835,4,0.04100300473101629,0.06073316771329349,0.05376154521015906,4,0.20886311889439463,0.17777632374248298,0.0742250957448359,4
NN,2.1796965189945663,3.917581775028437,4.275884505205741,4,,,,0,,,,0,,,,0
PINN,1.5105783474017196,1.791537122862108,1.5627936260876696,4,-1.5734674150852968,-1.6534318500685452,0.18591215108468234,4,0.001063019642435264,0.0008814693586074803,0.0005392340911006146,4,0.09335886212738617,0.07590943155179004,0.049887986191141334,4
