condition,initial_condition_scenario,initial_fraction,method,seed,D,alpha,beta,data_sse_log,training_objective,initial_condition_max_abs_error
ciprofloxacin,assumed_0.1pct,0.001,NLLS,,-4.525389050500972,1.000000000000151e-08,0.5441107577449953,14.15140091092683,14.151400910926832,0.0
ciprofloxacin,assumed_0.1pct,0.001,PINN_best_of_3,101.0,-4.487207912150654,1.185629788695793e-05,0.5206611665094125,12.826714699817682,0.11180685610030539,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,NLLS,,-4.342937610435784,0.0014714448808773955,0.4199542833907455,13.462223868587701,13.462223868587701,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,PINN_best_of_3,102.0,-4.170273022318108,0.0005623624757215007,0.30746672175373846,13.040152548730163,0.11257104219338002,0.0
ampicillin,assumed_0.1pct,0.001,NLLS,,-4.5394056361234245,1.0000001972245477e-08,1.407854947779028,65.24483223491293,65.24483223491292,0.0
ampicillin,assumed_0.1pct,0.001,PINN_best_of_3,103.0,-4.473584660687803,1.3670178292982188e-05,1.3683939791491422,58.16277297296875,0.30739621854022325,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,NLLS,,-4.174069111541773,0.00016758712718108375,0.8760220165446873,58.35623958131517,58.35623958131517,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,PINN_best_of_3,102.0,-4.00268117184385,1.2169061218862043e-05,0.647225390826458,53.34764876717451,0.2805792286862725,0.0
