dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,start_id,weight_seed_index,network_seed,initial_D_abs,initial_alpha,initial_beta,alpha,beta,D,training_objective,network_to_fitted_ode_rmse_log,all_RN_rmse_h-1,all_RP_rmse_h-1,selected
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,1,1,81000101,5.0,0.001,0.5,6.735415994336738e-06,0.6453225226981087,-4.009225820475726,0.3061904175674888,0.006431020300654522,0.012165567740765574,0.006751659141424755,False
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,2,0,81000200,10.0,0.05,2.0,3.9064030721116225e-06,0.5466841689649907,-4.401617381336811,0.4993161085834298,0.025159534106736568,0.04862479526587328,0.03033996521183179,False
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,2,1,81000201,10.0,0.05,2.0,1.9260055131182352e-10,0.7492471320988963,-3.6811445324570764,0.4505393396332799,0.027135223784477906,0.0399768196451721,0.004448847422856284,False
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,3,0,81000300,20.0,0.5,10.0,1.006635125758787e-10,2.3145612774827633,-5.790023240401639,17.21963907835344,0.6190212396139344,0.37042362104571747,0.24497070125442574,False
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,3,1,81000301,20.0,0.5,10.0,1.2367477907730078e-10,1.128928992235417,-8.55498345945277,55.622734392590516,1.4315707388694188,0.48548995856672983,0.9174016319113139,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,0,0,70000000,2.0,1e-05,0.05,1.0000000024048922e-10,1e-10,-4.755804707465501,1.0094560400670862,0.15669172009676707,0.005672270165437197,0.03666934775044261,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,0,1,70000001,2.0,1e-05,0.05,3.0597163657132797e-06,0.0806448928956362,-4.520157487917589,0.8066535385729767,0.11405968650197472,0.02683831144694145,0.028232060148347362,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,1,0,70000100,5.0,0.001,0.5,0.00024969160110128254,0.8247420846424967,-2.680205400594683,0.9604233765402599,0.0623221586452536,0.0587765897686868,0.04178461073651503,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,1,1,70000101,5.0,0.001,0.5,0.0002514683049397402,0.7572243978363433,-2.6051818775187607,0.9085885841542057,0.01342664606700621,0.042258816198893434,0.04149686021571062,False
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,2,0,70000200,10.0,0.05,2.0,8.94123936451592e-06,0.5367122422393573,-6.109993978070472,0.24969237019527055,0.026036009701770894,0.025590013033653557,0.008494890008062058,True
