condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,conditional_gaussian_lr,converged,optimized_D,optimized_alpha,optimized_beta
peyrusson_extracellular_oxacillin,D_abs,0.0010000000000000002,371.9474527252494,1.3787908062892658,269.7635138185104,83.9631855067456,True,-0.0010000000000000002,1.0000001440323467e-08,19.99999980836823
peyrusson_extracellular_oxacillin,D_abs,0.0011874591753432754,371.66155432943816,1.3787908062892658,269.5561593782957,83.95165128349711,True,-0.0011874591753432756,1.0000001440323467e-08,19.99999980836823
peyrusson_extracellular_oxacillin,D_abs,0.0014100592931069302,371.32223198228695,1.3787908062892658,269.31005797871904,83.93795021584283,True,-0.0014100592931069302,1.0000420712704983e-08,19.9999999999998
peyrusson_extracellular_oxacillin,D_abs,0.0016743878453778773,370.9195407177634,1.3787908062892658,269.017996802588,83.92167419963715,True,-0.001674387845377877,1.0000420712704983e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.001988267210077218,370.44169993481484,1.3787908062892658,268.67143169585177,83.9023378428282,True,-0.001988267210077217,1.0000394421726816e-08,19.999999996510024
peyrusson_extracellular_oxacillin,D_abs,0.002360986141640366,369.87476103488547,1.3787908062892658,268.26024611400476,83.87936365378954,True,-0.002360986141640367,1.0000394421726816e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.0028035746567491703,369.2022175708298,1.3787908062892658,267.77246837354704,83.85206431951886,True,-0.002803574656749171,1.0001211457093145e-08,19.9999999940088
peyrusson_extracellular_oxacillin,D_abs,0.003329130449916673,368.40454910522385,1.3787908062892658,267.1939408246488,83.81962147276374,True,-0.0033291304499166734,1.0001021087680787e-08,19.999999999997573
peyrusson_extracellular_oxacillin,D_abs,0.003953206498668239,367.4586891358141,1.3787908062892658,266.5079339517459,83.78106021132945,True,-0.003953206498668239,1.0000134703284724e-08,19.999999999805166
peyrusson_extracellular_oxacillin,D_abs,0.004694271328870265,366.33740678015675,1.3787908062892658,265.69469792598863,83.73521846177742,True,-0.004694271328870264,1.0000000000000018e-08,19.99999999999999
peyrusson_extracellular_oxacillin,D_abs,0.005574255561017861,365.00859158919434,1.3787908062892658,264.73094389970623,83.68071006262592,True,-0.00557425556101786,1.000000001842066e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.006619200911638937,363.43443113706127,1.3787908062892658,263.58924753434565,83.61588016433264,True,-0.006619200911638939,1.0000000117704407e-08,19.99999999977042
peyrusson_extracellular_oxacillin,D_abs,0.007860030855966229,361.57047229483817,1.3787908062892658,262.237368167497,83.53875118464282,True,-0.00786003085596623,1.0000000000247393e-08,19.999999999999687
peyrusson_extracellular_oxacillin,D_abs,0.009333465758398347,359.36455990545073,1.3787908062892658,260.63747906225683,83.44695709051237,True,-0.009333465758398348,1.0000000000000018e-08,19.99999999999999
peyrusson_extracellular_oxacillin,D_abs,0.0110831095525624,356.7556517639227,1.3787908062892658,258.7453079441817,83.33766316299162,True,-0.0110831095525624,1.000000001842066e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.013160740129524926,353.67251757655396,1.3787908062892658,256.5091933912668,83.20746758474819,True,-0.013160740129524923,1.000000001842066e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.01562784162111281,350.0323436660002,1.3787908062892658,253.8690728639545,83.0522800943584,True,-0.015627841621112814,1.00001221033789e-08,19.99999999999999
peyrusson_extracellular_oxacillin,D_abs,0.018557423923801927,345.7392871139053,1.3787908062892658,250.75543406355607,82.86717146771595,True,-0.018557423923801927,1.00001221033789e-08,19.999999994008533
peyrusson_extracellular_oxacillin,D_abs,0.022036183309053405,340.68305638453273,1.3787908062892658,247.0882854966314,82.64618555887692,True,-0.022036183309053402,1.0000000000001653e-08,19.999999999995246
peyrusson_extracellular_oxacillin,D_abs,0.026167068059881796,334.7376453944251,1.3787908062892658,242.77623832965872,82.38210283795699,True,-0.026167068059881796,1.0000000000092317e-08,19.9999999999999
peyrusson_extracellular_oxacillin,D_abs,0.03107232505953858,327.76042182150553,1.3787908062892658,237.71584516407233,82.06614048734585,True,-0.03107232505953858,1.0000000000146034e-08,19.999999999999783
peyrusson_extracellular_oxacillin,D_abs,0.036897117491197874,319.5918786294902,1.3787908062892658,231.79141982358192,81.68756872187501,True,-0.03689711749119787,1.0000012045041967e-08,19.9999999999999
peyrusson_extracellular_oxacillin,D_abs,0.04381382070864175,310.0565151721051,1.3787908062892658,224.87567639543445,81.23321550208718,True,-0.04381382070864175,1.0000000000027908e-08,19.99999999992382
peyrusson_extracellular_oxacillin,D_abs,0.05202712340732183,298.9655419220149,1.3787908062892658,216.83169089777996,80.68682151915942,True,-0.052027123407321824,1.0000000275657776e-08,19.999999999330434
peyrusson_extracellular_oxacillin,D_abs,0.0617800850567412,286.12243074394723,1.3787908062892658,207.5169267439398,80.02819366519964,True,-0.061780085056741214,1.0000000000134382e-08,19.999999999580787
peyrusson_extracellular_oxacillin,D_abs,0.07336132885411528,271.33280306626534,1.3787908062892658,196.79040636810035,79.2320885295053,True,-0.07336132885411528,1.0000000000313616e-08,19.999999999999794
peyrusson_extracellular_oxacillin,D_abs,0.08711358306319453,254.4208212792442,1.3787908062892658,184.5245994669532,78.26674177555589,True,-0.08711358306319451,1.0000000507830645e-08,19.999999998503807
peyrusson_extracellular_oxacillin,D_abs,0.10344382350541889,235.25520906024636,1.3787908062892658,170.62429484381883,77.09196049720808,True,-0.10344382350541886,1.0000000000000018e-08,19.99999999999999
peyrusson_extracellular_oxacillin,D_abs,0.12283531735409993,213.78939409039464,1.3787908062892658,155.05571484463636,75.65676754414365,True,-0.12283531735409994,1.0000012044958549e-08,19.99999999999996
peyrusson_extracellular_oxacillin,D_abs,0.14586192464832903,190.1222113855324,1.3787908062892658,137.89054185617002,73.89690293208338,True,-0.14586192464832906,1.0000000000097363e-08,19.99999999999997
peyrusson_extracellular_oxacillin,D_abs,0.17320508075688776,164.5883668412592,1.3787908062892658,119.37152908947458,71.73361084031885,True,-0.17320508075688776,1.0000000000000018e-08,19.99999999999999
peyrusson_extracellular_oxacillin,D_abs,0.20567396236083915,137.89177704010254,1.3787908062892658,100.00920836657602,69.07893398121617,True,-0.20567396236083912,1.000000077081052e-08,19.999999998776985
peyrusson_extracellular_oxacillin,D_abs,0.24422943373458592,111.3004507991262,1.3787908062892658,80.72323248127006,65.86539631273465,True,-0.24422943373458592,1.0000004315266677e-08,19.999999999845294
peyrusson_extracellular_oxacillin,D_abs,0.29001248197702656,86.92943503005294,1.3787908062892658,63.04758824437319,62.15834715303436,True,-0.2900124819770265,1.000000007183351e-08,19.999999999915406
peyrusson_extracellular_oxacillin,D_abs,0.3443779826876961,68.1494645307375,1.3787908062892658,49.426979219674294,58.507446197472824,True,-0.3443779826876961,1.0000000714374843e-08,19.999999999998337
peyrusson_extracellular_oxacillin,D_abs,0.4089347953287124,57.073566035855514,1.3787908062892658,41.393927037747936,55.847012702426724,True,-0.4089347953287124,1.0000000000066702e-08,0.10927375285176232
peyrusson_extracellular_oxacillin,D_abs,0.4362163826929646,53.02956047628652,1.3787908062892658,38.46091824401177,54.74463922762412,True,-0.4362163826929646,1.0000000000018243e-08,0.09699218652610848
peyrusson_extracellular_oxacillin,D_abs,0.46025760390786535,49.63448318257281,1.3787908062892658,35.99855972071202,53.75218394846668,True,-0.46025760390786535,1.0000000000000018e-08,0.0918519962937376
