alpha_true,beta_true,beta_alpha_ratio,method,metric,median,q1,q3,mean,sd,n
0.0001,0.1,1000.0,NLLS,alpha_relative_error_pct,32.00228740351165,20.202827575712277,91.1289952233016,52.93306296668627,43.652424868502884,5
0.0001,0.1,1000.0,NLLS,beta_relative_error_pct,42.744264134091914,10.349797360623668,69.92178589147943,49.0520333506798,46.06484156303533,5
0.0001,0.1,1000.0,NLLS,test_rmse_observed_log,0.10906095144123393,0.09326872670754104,0.1161382255964014,0.10804649906037092,0.0157811386485294,5
0.0001,0.1,1000.0,NLLS,test_rmse_latent_log,0.01799087108204131,0.010053708033021424,0.01821254922463877,0.016201849678105496,0.0071170248856135074,5
0.0001,0.1,1000.0,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.0001,0.1,1000.0,PINN,alpha_relative_error_pct,70.370721339186,69.74073423900946,88.80107869741371,195.844439913546,281.53577487758815,5
0.0001,0.1,1000.0,PINN,beta_relative_error_pct,90.57281605848459,88.78524335168122,94.07273195786408,146.98785356718358,144.701830932536,5
0.0001,0.1,1000.0,PINN,test_rmse_observed_log,0.10797197885061649,0.09164779918546032,0.11384586031265195,0.10617850352485125,0.01490922682718299,5
0.0001,0.1,1000.0,PINN,test_rmse_latent_log,0.021827320127142107,0.010470056179702104,0.02383263034818753,0.01912055283754025,0.009297506307024483,5
0.0001,0.1,1000.0,PINN,network_to_fitted_ode_rmse_log,0.023291619211896025,0.021437982852864187,0.03392219956105414,0.027461927629027605,0.01130442701203048,5
0.001,0.1,100.0,NLLS,alpha_relative_error_pct,3.3871199411827035,2.334029542338767,5.650186098160548,4.022240981135239,2.4026501764863877,5
0.001,0.1,100.0,NLLS,beta_relative_error_pct,3.8263232598795938,3.3587618108511963,9.391295193101158,5.923543923496157,3.802321241899995,5
0.001,0.1,100.0,NLLS,test_rmse_observed_log,0.0908268756824641,0.08866304376424845,0.1065235635044014,0.09463216928183658,0.014646682812640397,5
0.001,0.1,100.0,NLLS,test_rmse_latent_log,0.007350873051209072,0.0052381244240063945,0.017948638941019824,0.010242243080810351,0.007303598890867811,5
0.001,0.1,100.0,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.001,0.1,100.0,PINN,alpha_relative_error_pct,7.573758576455935,5.471378634360957,17.93834508830279,12.077846776253443,8.420328841559357,5
0.001,0.1,100.0,PINN,beta_relative_error_pct,13.392223727924058,13.35977124115174,17.931666065601938,16.48917944869977,8.648531105937922,5
0.001,0.1,100.0,PINN,test_rmse_observed_log,0.09671900973277793,0.09049208268703113,0.1058592560416916,0.09603205925706049,0.014455535864609466,5
0.001,0.1,100.0,PINN,test_rmse_latent_log,0.013674833819069686,0.005098004522969396,0.020267111580061833,0.013843458963646155,0.009091681969216512,5
